filename,report_id,status,word_count,sections_found,num_sections,file_size_mb,extraction_time_s,text_hash,error
AAR0903.pdf,AAR0903,success,64815,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.99,138.53,0d8a3aba93681ddf,
AAR0902.pdf,AAR0902,success,23330,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.88,36.09,5b6e24d0bd09385d,
AAR0901.pdf,AAR0901,success,11887,"History of Flight, Wreckage and Impact Information, Probable Cause, Findings",4,0.63,19.24,9b466e33008a1869,
AAR0803.pdf,AAR0803,success,9048,"Probable Cause, Findings",2,0.83,17.74,4346f39570af85db,
AAR0802.pdf,AAR0802,success,50411,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,2.61,137.54,1e7b955e381f1b3f,
AAR0801.pdf,AAR0801,success,48653,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,5.57,114.64,b38eee764cf189cb,
AAR0707.pdf,AAR0707,success,38119,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,2.39,85.43,8f39454ef5c2b75d,
AAR0706.pdf,AAR0706,success,58588,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,3.64,169.04,8997304131d740e1,
AAR0705.pdf,AAR0705,success,62269,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,3.39,185.17,4d813fec9015eb80,
AAR0704.pdf,AAR0704,success,30315,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.44,66.67,c851e63d535c6a05,
AAR0703.pdf,AAR0703,success,31604,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.43,52.62,8deffd9e4c95b35e,
AAR0702.pdf,AAR0702,success,29830,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,0.83,64.74,f2651421435ff5f3,
AAR0701.pdf,AAR0701,success,57585,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.73,128.91,e9cdce7503765fdc,
AAR0604.pdf,AAR0604,success,45527,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,2.06,144.56,f298a9c48d5c0828,
AAR0603.pdf,AAR0603,success,24133,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.02,54.82,49d38900b17e7dbc,
AAR0602.pdf,AAR0602,success,38190,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.05,50.75,661364448b310123,
AAR0601.pdf,AAR0601,success,36896,"History of Flight, Meteorological Information, Probable Cause, Findings",4,1.64,80.51,55f76bf53f8d303a,
AAR0502.pdf,AAR0502,success,33015,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.15,92.05,32880364f38e8c39,
AAR0501.pdf,AAR0501,success,38658,"History of Flight, Meteorological Information, Probable Cause, Findings",4,1.35,84.04,50560e9ecdd0d0d9,
AAR0404.pdf,AAR0404,success,88038,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.86,144.28,5fcef874728d4237,
AAR0403.pdf,AAR0403,success,25025,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,0.88,34.94,d0e604ad0d78da2b,
AAR0402.pdf,AAR0402,success,46090,"History of Flight, Meteorological Information, Probable Cause, Findings",4,1.93,204.12,fe35c6e9ebc59fe7,
AAR0401.pdf,AAR0401,success,78312,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,3.73,384.98,aea1667c53c2490b,
AAR0303.pdf,AAR0303,success,32730,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,2.96,53.97,cc8fcb4b6b1d0839,
AAR0302.pdf,AAR0302,success,43230,"History of Flight, Meteorological Information, Probable Cause, Findings",4,1.29,79.57,d49aeffa803b1680,
AAR0301.pdf,AAR0301,success,23071,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,0.51,32.94,36a2d0a44a71fe51,
AAR0201.pdf,AAR0201,success,100528,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,2.37,177.96,5dd5f10e41e6dd26,
AAR0102.pdf,AAR0102,success,93410,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,3.07,148.77,37accb657d83517f,
AAR0101.pdf,AAR0101,success,75643,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,3.84,259.36,fe88ca0fea9d636e,
AAR0003.pdf,AAR0003,success,150858,"History of Flight, Meteorological Information, Probable Cause, Findings",4,8.97,262.7,b2054a1b86853281,
AAR0002.pdf,AAR0002,success,41365,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,6.6,244.35,be01a7f7caa70945,
AAR0001.pdf,AAR0001,success,91049,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,3.57,238.97,fac9a6125ef07448,
